jlpt,kanji,kana
4,,もしもし
4,,もちろん
4,持つ,もつ
4,,もっと
4,物,もの
4,門,もん
4,問題,もんだい
4,八百屋,やおや
4,野菜,やさい
4,易しい,やさしい
4,安い,やすい
4,休み,やすみ
4,休む,やすむ
4,八つ,やっつ
4,山,やま
4,,やる
4,夕方,ゆうがた
4,郵便局,ゆうびんきょく
4,,ゆうべ
4,有名,ゆうめい
4,雪,ゆき
4,,ゆっくり
4,八日,ようか
4,洋服,ようふく
4,,よく
4,横,よこ
4,四日,よっか
4,四つ,よっつ
4,呼ぶ,よぶ
4,読む,よむ
4,夜,よる
4,来月,らいげつ
4,来週,らいしゅう
4,来年,らいねん
4,,ラジオ
4,,りっぱ
4,留学生,りゅうがくせい
4,両親,りょうしん
4,料理,りょうり
4,旅行,りょこう
4,零,れい
4,冷蔵庫,れいぞうこ
4,,レコード
4,,レストラン
4,練習,れんしゅう
4,六,ろく
4,,ワイシャツ
4,若い,わかい
4,分る,わかる
4,忘れる,わすれる
4,私,わたし/わたくし
4,渡す,わたす
4,渡る,わたる
4,悪い,わるい
3,,あ
3,,ああ
3,,あいさつ
3,間,あいだ
3,合う,あう
3,,あかちゃん
3,上る,あがる
3,赤ん坊,あかんぼう
3,空く,あく
3,,あげる
3,朝寝坊,あさねぼう
3,味,あじ
3,明日,あす
3,遊び,あそび
3,集る,あつまる
3,集める,あつめる
3,謝る,あやまる
3,,アルバイト
3,安心,あんしん
3,安全,あんぜん
3,,あんな
3,案内,あんない
3,以下,いか
3,以外,いがい
3,,いかが
3,医学,いがく
3,生きる,いきる
3,意見,いけん
3,石,いし
3,,いじめる
3,以上,いじょう
3,急ぐ,いそぐ
3,致す,いたす
3,,いただく
3,一度,いちど
3,一生懸命,いっしょうけんめい
3,,いっぱい
3,糸,いと
3,以内,いない
3,田舎,いなか
3,祈る,いのる
3,,いらっしゃる
3,植える,うえる
3,,うかがう
3,受付,うけつけ
3,受ける,うける
3,動く,うごく
3,,うそ
3,,うち
3,打つ,うつ
3,美しい,うつくしい
3,写す,うつす
3,移る,うつる
3,腕,うで
3,,うまい
3,裏,うら
3,売り場,うりば
3,,うるさい
3,,うれしい
3,,うん
3,運転手,うんてんしゅ
3,運転,うんてん
3,運動,うんどう
3,,エスカレーター
3,枝,えだ
3,選ぶ,えらぶ
3,遠慮,えんりょ
3,,おいでになる
3,お祝い,おいわい
3,応接間,おうせつま
3,多い,おおい
3,大きな,おおきな
3,,オートバイ
3,,オーバー
3,,おかげ
3,,おかしい
3,億,おく
3,屋上,おくじょう
3,贈り物,おくりもの
3,送る,おくる
3,遅れる,おくれる
3,お子さん,おこさん
3,起す,おこす
3,行う,おこなう
3,怒る,おこる
3,押し入れ,おしいれ
3,お嬢さん,おじょうさん
3,お宅,おたく
3,落る,おちる
3,,おっしゃる
3,音,おと
3,落す,おとす
3,踊り,おどり
3,踊る,おどる
3,驚く,おどろく
3,お祭り,おまつり
3,お見舞い,おみまい
3,お土産,おみやげ
3,思い出す,おもいだす
3,思う,おもう
3,,おもちゃ
3,表,おもて
3,,おや
3,下りる,おりる
3,,おる
3,お礼,おれい
3,折れる,おれる
3,終わり,おわり
3,,カーテン
3,海岸,かいがん
3,会議,かいぎ
3,会場,かいじょう
3,会話,かいわ
3,帰り,かえり
3,変える,かえる
3,科学,かがく
3,鏡,かがみ
3,飾る,かざる
3,火事,かじ
3,,ガソリン
3,,ガソリンスタンド
3,,かた
3,形,かたち
3,片付ける,かたづける
3,勝つ,かつ
3,,かっこう
3,悲しい,かなしい
3,必ず,かならず
3,金持ち,かねもち
3,彼女,かのじょ
3,壁,かべ
3,,かまう
3,髪,かみ
3,,かむ
3,通う,かよう
3,,ガラス
3,彼,かれ
3,彼ら,かれら
3,乾く,かわく
3,代わり,かわり
3,変わる,かわる
3,考える,かんがえる
3,関係,かんけい
3,看護婦,かんごふ
3,簡単,かんたん
3,,がんばる
3,気,き
3,機械,きかい
3,機会,きかい
3,危険,きけん
3,聞こえる,きこえる
3,汽車,きしゃ
3,技術,ぎじゅつ
3,季節,きせつ
3,規則,きそく
3,,きっと
3,絹,きぬ
3,厳しい,きびしい
3,気分,きぶん
3,決る,きまる
3,君,きみ
3,決める,きめる
3,気持ち,きもち
3,着物,きもの
3,客,きゃく
3,急,きゅう
3,急行,きゅうこう
3,教育,きょういく
3,教会,きょうかい
3,競争,きょうそう
3,興味,きょうみ
3,近所,きんじょ
3,具合,ぐあい
3,空気,くうき
3,空港,くうこう
3,草,くさ
3,,くださる
3,首,くび
3,雲,くも
3,比べる,くらべる
3,,くれる
3,暮れる,くれる
3,,け
3,,け
3,計画,けいかく
3,警官,けいかん
3,経験,けいけん
3,経済,けいざい
3,警察,けいさつ
3,,けが
3,景色,けしき
3,下宿,げしゅく
3,決して,けっして
3,,けれど
3,,けれども
3,原因,げんいん
3,,けんか
3,研究,けんきゅう
3,研究室,けんきゅうしつ
3,見物,けんぶつ
3,子,こ
3,,こう
3,郊外,こうがい
3,講義,こうぎ
3,工業,こうぎょう
3,高校,こうこう
3,高等学校,こうとうがっこう
3,高校生,こうこうせい
3,工場,こうじょう
3,校長,こうちょう
3,交通,こうつう
3,講堂,こうどう
3,公務員,こうむいん
3,国際,こくさい
3,心,こころ
3,故障,こしょう
3,ご存じ,ごぞんじ
3,答,こたえ
3,,ごちそう
3,,こっち
3,,こと
3,小鳥,ことり
3,,このあいだ
3,,このごろ
3,細かい,こまかい
3,,ごみ
3,込む,こむ
3,米,こめ
3,,ごらんになる
3,,これから
3,怖い,こわい
3,壊す,こわす
3,壊れる,こわれる
3,,コンサート
3,今度,こんど
3,今夜,こんや
3,最近,さいきん
3,最後,さいご
3,最初,さいしょ
3,財布,さいふ
3,探す,さがす
3,下る,さがる
3,盛ん,さかん
3,下げる,さげる
3,差し上げる,さしあげる
3,,さっき
3,寂しい,さびしい
3,さ来週,さらいしゅう
3,騒ぐ,さわぐ
3,触る,さわる
3,,サンダル
3,,サンドイッチ
3,残念,ざんねん
3,字,じ
3,試合,しあい
3,仕方,しかた
3,,しかる
3,試験,しけん
3,事故,じこ
3,地震,じしん
3,時代,じだい
